|french|lingala
0|" 
                                                                                             A Pathy tu es une fleur parmi tant d’autre 
                                                                                             J’avais voulu que tu sois mon premier amour 
                                                                                             Mes pensées sont tout à toi 
                                                                                             Et mon cœur tu l’as déjà"|"A Pathy tu es une fleur parmi tant d’autre 
                                  J’avais voulu que tu sois mon premier amour 
                                  Mes pensées sont tout à toi 
                                  Et mon cœur tu l’as déjà"
1|"Notre amour a commencé ya pas si longtemps 
                                                                                             Notre amour a comment récemment
                                                                                             Les amis ne croyaient pas  qu’on pouvait faire grandir cet amour"|"Bolingo ya nga na yo et banda kala té yeh yeh yeh hi
                                  Bolingo ya nga na yo et bandi sika 
                                  Ba masta coutou ba dimaka te que to ko kolisa bolingo ya ngo ya ngo"
2|"Demande à Martin LIKOMBE, demande à KAKOLO 
                                                                                             Ca commencé comme un jeu 
                                                                                             Les parents même se moquaient 
                                                                                             Ils ne croyaient pas  que toi et moi allions vivre ensemble 
                                                                                             Cet amour est devenu fort, sucré dans la bouche des gens comme la canne a sucre"|"Tuna Martin LIKOMBE he tunela nga KAKOLO 
                                  Ebendaki  lekola lisano
                                  Ba parents kutu ba seke 
                                  Ba ndimaka te que nga na mwana oyo to ko vivre tuma 
                                  Bolingo yango ekomi makasi sukali na minoko ya bato coco yeah"
3|"Chœur : 
                                                                                             Qu’ils insultent c’est rien 
                                                                                             Qu’ils commèrent c’est rien 
                                                                                             Qu’ils détestent c’est rien, le cœur a déjà choisi 
                                                                                             Qu’ils commèrent c’est rien, qu’ils insultent et qu’ils détestent c’est rien 
                                                                                             Nos cœur sont unis qu’ils nous laissent vivre en paix"|"Choeurs:
                                  Ba finga se pamba 
                                  Ba tongo se pamba 
                                  Ba yina se pamba eloko elingui motema
                                  Ba tongo se pamba ba finga pe bayina se pamba 
                                  Nos coeurs sont unis botika to vanda na kimia"
4|"JB :
                                                                                             Oh moi je te pleur Pathy chérie 
                                                                                             Oh moi j’ai pleuré pour toi ma belle au bois dormant 
                                                                                             Ta beauté est mélangée avec des charmes nounours 
                                                                                             Oh moi j’ai pleuré pour toi ma belle au bois dormant 
                                                                                             Ta beauté est mélangée avec des charmes poupée fragile"|"JB:
                                  Oh nga na leli yo pathy yeh cherie 
                                  Oh nga na pleuré yo ma belle au bois dormant
                                  Kitoko na yo esangana na ba charmes nounours 
                                  Oh nga na pleuré yeh yeh ma belle au bois dormant
                                  Kitoko na yo esangana na ba charmes poupée fragile"
5|"Le cœur a mal princesse 
                                                                                             Dans mon sommeil je ne rêve que de toi 
                                                                                             Patricia la grande  sœur a Lydie 
                                                                                             Pathy la petite sœur a Malou"|"Motema pasi  yeyeye princesse 
                                  Na ko lala se ba ndoto na yo he 
                                  Patricia yeh yaya na lydie 
                                  Pathy eh leki ya malou"
6|"Chœur : (2X)
                                                                                             Qu’ils insultent c’est rien 
                                                                                             Qu’ils commèrent c’est rien 
                                                                                             Qu’ils détestent c’est rien, le cœur a déjà choisi 
                                                                                             Qu’ils commèrent c’est rien, qu’ils insultent et qu’ils détestent c’est rien 
                                                                                             Nos cœur sont unis qu’ils nous laissent vivre en paix"|"Choeur:(2X) 
                                  Ba finga se pamba 
                                  Ba tongo se pamba 
                                  Ba yina se pamba eloko elingui motema
                                  Ba tongo se pamba ba finga pe bayina se pamba 
                                  Nos coeurs sont unis botika to vanda na kimia"
7|"Chœur : 
                                                                                             J’aimerais  mon amour avec Pathy dur éternellement 
                                                                                             Les jaloux et les canailles ne puis pas s’en mêler, qu’ils nous laissent vivre en paix 
                                                                                             J’aimerais  mon amour avec Pathy dur éternellement 
                                                                                             Les jaloux et les canailles ne puis pas s’en mêler"|"Choeur: 
                                  Na leli bolingo ya nga na pathy eh etikala seseko
                                  Ba jalou na ba canaille ba zala te batika bisso to vanda  kimia 
                                  Na leli bolingo ya nga na pathy eh etikala seseko
                                  Ba jalou na ba canaille ba zala te"
8|"Chœur : (2X)
                                                                                             Qu’ils insultent c’est rien 
                                                                                             Qu’ils commèrent c’est rien 
                                                                                             Qu’ils détestent c’est rien, le cœur a déjà choisi 
                                                                                             Qu’ils commèrent c’est rien, qu’ils insultent et qu’ils détestent c’est rien 
                                                                                             Nos cœur sont unis qu’ils nous laissent vivre en paix"|"Choeur: (2X)
                                  Ba finga se pamba 
                                  Ba tongo se pamba 
                                  Ba yina se pamba eloko elingui motema
                                  Ba tongo se pamba ba finga pe bayina se pamba 
                                  Nos coeurs sont unis botika to vanda na kimia"
