|french|lingala
0|"Oh Seigneur
Tu as créé la vie humaine 
L’être humain va se frotter à la maladie 
Le blanc à fabriquer les médicaments pour que l’Homme soit guérit 
S’il ne tenait qu’à l’argent, Bowulé ne serait pas morte 
Car la famille a tout fait 
Seigneur, pourquoi la mort ? 
Effroyable, je n’y croyais pas"|"FRANCO :
Oh Nzambé 
Osala bomowi bwa moto 
Moto akoya ko kutana na malade 
Mondelé pe asali kisi po moto abika 
Vraiment soki ezalaki po na mbongo ndé Bowulé a kufi té
Po famille asali nioso 
Nzambé , pona nini liwa ? 
Ah somo, na ndimaki té, hum"
1|"CARLYTO:
Le testament, la famille je le lis et le relis 
Les paroles de Bowulé, les amis je les lis en pleurant 
Je n’ai plus rien au monde, la famille vous m’avez fait du mal 
Massiya comment est ce que je peux faire des manières, le monde vient de m’ôter de mon estime aujourd’hui je l’admets"|"CARLYTO:
Testatement ba ndeko na kotanga na ko zongela eh 
Maloba ya Bowulé baninga na kotanga nako lela eh 
Nazangi na mokili oh ba famille bosali nga mabé
Massiya na sala fielé wapi oh mokili esilisi nga lolendo lelo na ndimi"
2|"Le testament, la famille je le lis et le relis 
Les paroles de Bowulé, les amis je les lis en pleurant 
Je n’ai plus rien au monde, les ennemis vous m’avez fait consommer du poison 
Louambo comment est ce que je peux faire des manières, le monde vient de m’ôter de mon estime aujourd’hui je l’admets"|"Testatement ba ndeko na kotanga na ko zongela eh 
Maloba ya Bowulé baninga na kotanga nako lela eh 
Nazangi na mokili oh binemi bo liesi nga poison
Luambo na sala fielé wapi oh mokili esilisi  nga lolendo lelo na ndimi"
3|"La mort de Bowulé a raisonné comme le tonnerre dans mes oreilles
Ca me rend fou, je ne sais plus quoi faire 
L’argent est inutile, car il ne peu pas acheter la mort"|"Liwa ya Bowulé sango lokola nkaké na motoyi eh 
Epesi nga liboma, na zangi likambo nga na sala 
Mbongo eloko pamba ekoki ko somba liwa te"
4|"Bowulé, hier dans la souffrance tu m’avais regardé et tu as souri 
Tu m’avais interdit de pleurer, et tu m’avais promis que tu allais guérir
Alors que tu savais que tu allais mourir
Tu m’as menti, quand je suis parti me coucher tu as rendu l’âme
Sans même une dernière parole, Josée t’es méchante ma chérie"|"Ya Bowulé lobi na pasi otali nga oseki 
Opekisi nga ko lela eh, kasi olakaki nga okobika 
Nzoka oyebaki ozali kokende
Okosi nga nde ko kosa, nakeyi kolala yo okati motema 
Ata liloba ya suka, Josée yo méchante mama"
5|"Bowulé, hier dans la souffrance tu m’avais regardé et tu avais pleuré 
Tu m’avais caché le secret, tu savais que tu allais mourir 
Tu m’avais demandé d’aller me coucher 
Tu m’as menti, après que je sois parti tu avais rendu l’âme 
Tu n’as pas voulu que je sois la, Josée t’es méchante ma chérie"|"Ya Bowulé lobi na pasi otali nga oleli 
Obombeli nga sekele oh kasi oyebaki oko kufa  
Olobi na nga na kende kolala eh 
Okosi nga nde ko kosa, sima na nga y’okati motema  
Olingaki na zala te, Josée yo méchante mama"
6|"Josée Bowulé tu m’as fais du mal 
Moi Mathy, dans quel pays irai-je m’acheté un parent 
Tout le monde a sa famille
Josée tu m’as dépourvue de mon estime, ou est-ce que j’irais me coucher ma chérie"|"Ya Josée oh Bowulé osali ngaï mabé 
Ngaï Mathy eh na somba ndeko na mboka nini oh 
Baninga nioso moto na ndeko  nayé 
Josée osilisi nga lolendo eh na lala wapi oh mama"
