|french|lingala
0|Au secours sauve-moi|Au secours eh sauve-moi
1|"ELVIS en Suède aide ROCKY, DIEGO et DIDI
Hum MOKOULOU KOULOU a aidé BINDA BASS 
Hum MOPAO MOKONZI a aidé QUARTIER LATINO"|"ELVIS na Suède sunga ROCKY, DIEGO, na DIDI 
Hum MOKOULOU KOULOU a sungi BINDA BASS 
Hum MOPAO MOKONZI a sungi QUARTIER LATINO"
2|"ANGELA sauve-moi 
ANGELA regarde moi 
Tu me disais de te donner tout mon amour 
Que je ne renverse aucune goutte 
Tu me disais de me donner à toi 
Sans retenue"|"ANGELA bikisa nga eh  
ANGELA talela nga ye e 
Yo lobaki na mipesa bolingo nionso tout  
Natika ata ndambo te esopana  
Yo lobaki na mipesa ngaï epayi na yo  
Na bomba ata ndambo te e STANI LUPEMBA"
3|"Tu t’es tellement éloigné de moi  
Que je ne pourrais te rejoindre ANGELA 
Je vais rugir aussi fort qu’un Lion 
Toutes personnes ayant entendues mes rugissements 
Qu’elles t’apportent la nouvelle, là où tu te trouves 
Je n’ai rien à t’offrir 
Je te chante juste une mélodie mélancolique 
 ANGEL DINDWALA"|"Mosika yoza  
Nakokoka te kokoma ANGELA eh  
Nako nganga nse makasi na mongongo ya ntambwe 
Moto nionso ako yoka elelo na nga e  
Akomisela yo sango kuna epayi yoza  
Naza na nga na eloko ya kopesa yo te  
Na yembeli yo se loyembo  mélodie ya mawa 
ANGEL DINDWALA"
4|"Depuis que tu as emmené le moteur, tu m’as laissé une épave 
Mon cadavre dans la voie publique 
Ne me pleure pas ANGELA, c’est de l’hypocrisie 
Ce que tu es en train de faire"|"Wuta yo tika nga epave ya pamba moteur yokenda na ngo o  
Ebembe na nga ata na fulu ya l’état  
Kolela nayo te ANGELA hypocrisie ya pamba  
Y’oko sala nini"
5|"Si tu apprenais ma mort, ne soit pas étonné ANGELA 
Tu es déjà l’assassin de mon amour ANGEL DINDWALA"|"Soki oyoki nawé ko kamwa nayo te ANGELA  
Yo bongwana déjà assassin ya bolingo na nga ANGEL DINDWALA"
6|"Refrain 2X
ANGEL DINDWALA, l’amour que je t’avais donné tu l’as mis où ? 
Reviens vite si non tu vas trouver 
Les rameaux alors que ma dépouille aura déjà été enterré
Tu vas pleurer pour la gêne, dans ton cœur tu sais que c’est toi qui m’as tué 
ANGEL DINDWALA l’amour qu’on s’était promis  tous les deux c’est pour toujours 
Depuis qu’on s’était promis nous deux c’est pour toujours
Ca s’est transformé en deuil, mais chez toi c’est la fête 
Tu t’es envolé comme je n’ai pas d’ailes 
Je ne sais pas comment te suivre, je suis resté à pleurer 
Est-ce que tu es morte ou tu es vivante 
Que tu sache ne serait-ce les nouvelles de ma tristesse 
Même si je suis devenu fou 
Même si je suis devenu fou mon amie"|"Refrain  2X  
ANGEL DINDWALA bolingo na pesa nayo otié yango wapi e 
Sala bungu ozonga noki te yo kokuta ah  
Mandalala ya pamba moto esi bakunda  
Yo kolela po na nsoni na motema oyebi yomoko nde obomi nga   
ANGEL DINDWALA bolingo to lakanaka ya ngaï na yo pour toujours  
Ba ndaka to lakanaka ya ngaï na yo se libela  
Ebongwani matanga awa epayi nayo fetie  
O s’envoler neti nga nazanga mapapu  
Nako landa yo wapi nga natikali se kolela 
Est-ce que yo kufa to pe ozali vivante  
Oyokaka ata nsango na nga ya mpasi eh  
Ata nakomi na nga moto ya liboma  
Ata nakomi na nga kilawu eh moninga "
